Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-12-25 14:00:00+00:00,87672.6953125,87685.4765625,87517.5,87581.0234375,0
2025-12-25 15:00:00+00:00,88274.7890625,88462.0703125,87667.3671875,87667.3671875,0
2025-12-25 16:00:00+00:00,88053.796875,88389.234375,87948.015625,88259.4140625,0
2025-12-25 17:00:00+00:00,88114.0546875,88126.40625,87963.8515625,88042.1328125,0
2025-12-25 18:00:00+00:00,88185.5703125,88253.4921875,88103.953125,88103.953125,0
2025-12-25 19:00:00+00:00,88094.2265625,88186.1953125,88024.7734375,88182.546875,0
2025-12-25 20:00:00+00:00,87821.90625,88103.3125,87687.015625,88096.2109375,218568704
2025-12-25 21:00:00+00:00,87851.859375,87921.65625,87775.4453125,87838.140625,27912192
2025-12-25 22:00:00+00:00,87625.0625,87867.7421875,87351.3046875,87845.4765625,177784832
2025-12-25 23:00:00+00:00,87204.3671875,87690.484375,86971.5,87541.421875,1121579008
2025-12-26 00:00:00+00:00,87041.6640625,87263.5625,86917.9765625,87214.5,273956864
2025-12-26 01:00:00+00:00,87385.875,87411.6875,87063.359375,87063.359375,955342848
2025-12-26 02:00:00+00:00,89091.078125,89232.1484375,87379.9609375,87379.9609375,4295059456
2025-12-26 03:00:00+00:00,88742.3125,89158.734375,88639.0625,89099.0078125,2309169152
2025-12-26 04:00:00+00:00,88891.71875,89020.203125,88455.6328125,88688.6484375,1110192128
2025-12-26 05:00:00+00:00,88942.3828125,88942.3828125,88769.390625,88893.8046875,186279936
2025-12-26 06:00:00+00:00,89133.1015625,89163.2578125,88924.1953125,88924.1953125,926695424
2025-12-26 07:00:00+00:00,88372.125,89439.1171875,88372.125,89072.8828125,2443640832
2025-12-26 08:00:00+00:00,88666.6328125,88741.3828125,88394.3984375,88394.3984375,710477824
2025-12-26 09:00:00+00:00,88769.6171875,88828.0625,88615.0625,88677.171875,309696512
2025-12-26 10:00:00+00:00,88716.546875,88807.9609375,88635.9375,88750.15625,22343680
2025-12-26 11:00:00+00:00,88512.640625,88707.4609375,88498.59375,88707.4609375,112492544
2025-12-26 12:00:00+00:00,88626.3984375,88682.6484375,88493.953125,88493.953125,339990528
2025-12-26 13:00:00+00:00,88983.1640625,88983.1640625,88597.7109375,88618.734375,166897664
